,model_type,n_layers,hidden_size,activation,final_loss,min_loss
42,cnn,2,20,relu,0.008402825778933429,0.008402825778933429
33,cnn,1,20,relu,0.008553270647277178,0.008553270647277178
30,cnn,1,10,relu,0.008557840813669046,0.008557840813669046
27,cnn,1,5,relu,0.008799221810668872,0.008799221810668872
34,cnn,1,20,tanh,0.008890180830478213,0.008890180830478213
31,cnn,1,10,tanh,0.009962495122438554,0.009962495122438554
51,cnn,3,20,relu,0.00999615293199505,0.00999615293199505
43,cnn,2,20,tanh,0.010078886630027293,0.010078886630027293
39,cnn,2,10,relu,0.010171759131427299,0.010171759131427299
28,cnn,1,5,tanh,0.01075385975039555,0.01075385975039555
36,cnn,2,5,relu,0.012318808470637488,0.012318808470637488
40,cnn,2,10,tanh,0.012744971310394494,0.012744971310394494
3,mlp,1,10,relu,0.013475747818380335,0.013475747818380335
6,mlp,1,20,relu,0.013899664884700142,0.013899664884700142
48,cnn,3,10,relu,0.014698627140332508,0.014698627140332508
7,mlp,1,20,tanh,0.015452465457996814,0.015452465457996814
52,cnn,3,20,tanh,0.015647335091094585,0.015647335091094585
37,cnn,2,5,tanh,0.018061569742546742,0.018061569742546742
35,cnn,1,20,sigmoid,0.019939560680528216,0.019939560680528216
16,mlp,2,20,tanh,0.020495610697054533,0.020495610697054533
12,mlp,2,10,relu,0.02240119875712583,0.02240119875712583
32,cnn,1,10,sigmoid,0.022649992378905373,0.022649992378905373
4,mlp,1,10,tanh,0.02344466617357481,0.02344466617357481
49,cnn,3,10,tanh,0.027547090801417692,0.027547090801417692
29,cnn,1,5,sigmoid,0.028750346810291916,0.028750346810291916
25,mlp,3,20,tanh,0.03066901202545952,0.03066901202545952
15,mlp,2,20,relu,0.03356688850090629,0.03356688850090629
1,mlp,1,5,tanh,0.034072451508831224,0.034072451508831224
13,mlp,2,10,tanh,0.03930588151764996,0.03930588151764996
0,mlp,1,5,relu,0.040888215562634896,0.040888215562634896
10,mlp,2,5,tanh,0.04592754816931004,0.04592754816931004
22,mlp,3,10,tanh,0.0482898916320564,0.0482898916320564
46,cnn,3,5,tanh,0.05135736033114002,0.05135736033114002
9,mlp,2,5,relu,0.06005689735723499,0.06005689735723499
19,mlp,3,5,tanh,0.06320037090906397,0.06320037090906397
8,mlp,1,20,sigmoid,0.06775106569518848,0.06775106569518848
21,mlp,3,10,relu,0.0693796868397079,0.0693796868397079
5,mlp,1,10,sigmoid,0.0702377394667683,0.0702377394667683
24,mlp,3,20,relu,0.0708435179056129,0.0708435179056129
2,mlp,1,5,sigmoid,0.07203914950845863,0.07203914950845863
18,mlp,3,5,relu,0.07561103928286983,0.07561103928286983
45,cnn,3,5,relu,0.08670757143786213,0.08670757143786213
11,mlp,2,5,sigmoid,0.08886730340348399,0.08886730340348399
44,cnn,2,20,sigmoid,0.08906839236549638,0.08906839236549638
17,mlp,2,20,sigmoid,0.08915798332449693,0.08915798332449693
14,mlp,2,10,sigmoid,0.08916825034309847,0.08916825034309847
41,cnn,2,10,sigmoid,0.0892111456174693,0.0892111456174693
38,cnn,2,5,sigmoid,0.08921152277360511,0.08921152277360511
26,mlp,3,20,sigmoid,0.08927649562045904,0.08927649562045904
20,mlp,3,5,sigmoid,0.08927709567781478,0.08927709567781478
23,mlp,3,10,sigmoid,0.08927751276522014,0.08927751276522014
47,cnn,3,5,sigmoid,0.0892851780658067,0.0892841063594151
50,cnn,3,10,sigmoid,0.08928896245287213,0.08928139987853206
53,cnn,3,20,sigmoid,0.08929364913682387,0.08929364913682387
